Feature,Importance
URLSimilarityIndex,0.23554138033831667
NoOfExternalRef,0.2002679121585639
NoOfImage,0.12643613283963945
NoOfJS,0.061581659242943544
HasSocialNet,0.05783297814865801
NoOfCSS,0.05110823303403875
HasCopyrightInfo,0.04520495849221267
HasDescription,0.044622355202087245
Slash_Count,0.03564115509875224
NoOfOtherSpecialCharsInURL,0.02430567290195461
IsHTTPS,0.0240070780394622
HasHTTPS,0.020408168483581478
HasSubmitButton,0.011207718131047994
IsResponsive,0.009162421036060957
Digit_Count,0.008173059807158808
URLTitleMatchScore,0.0068199141425522
NoOfLettersInURL,0.0063941035948102245
DomainTitleMatchScore,0.006014032554738897
NoOfDegitsInURL,0.004850198065626894
HasHiddenFields,0.004241727877420924
URLLength,0.0038043382587286145
URL_Length,0.0026728492154073926
HasFavicon,0.002403543634443178
HasTitle,0.0022516007169140063
NoOfSubDomain,0.0016256313026419644
Dot_Count,0.000895381654315469
CharContinuationRate,0.0006366890921488305
TLDLegitimateProb,0.0006211345153231587
DomainLength,0.0006177690421959114
URLCharProb,0.0004038189686609374
Robots,6.799440175540031e-05
Hyphen_Count,5.655048446426473e-05
Pay,3.5372195955066856e-05
IsDomainIP,2.9958345084089532e-05
Bank,2.198874760270258e-05
Crypto,1.4259571950268671e-05
HasPasswordField,7.233503620712068e-06
NoOfURLRedirect,6.802158019137531e-06
NoOfObfuscatedChar,6.225001141219724e-06
HasObfuscation,0.0
